ID;TITLE;DATE;LOCATION;LINK;FIGHT_LINKS_SCRAPED;FIGHT_DATA_SCRAPED
51b1e2fd9872005b;UFC FIGHT NIGHT: SONG VS. SIMON;2023-04-29;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/51b1e2fd9872005b;True;False
6fb1ba67bef41b37;UFC FIGHT NIGHT: PAVLOVICH VS. BLAYDES;2023-04-22;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/6fb1ba67bef41b37;True;False
15b1b21cd743d652;UFC FIGHT NIGHT: HOLLOWAY VS. ALLEN;2023-04-15;KANSAS CITY, MISSOURI, USA;http://ufcstats.com/event-details/15b1b21cd743d652;True;False
3dc3022232b79c7a;UFC 287: PEREIRA VS. ADESANYA 2;2023-04-08;MIAMI, FLORIDA, USA;http://ufcstats.com/event-details/3dc3022232b79c7a;True;False
aec273fcb765330d;UFC FIGHT NIGHT: VERA VS. SANDHAGEN;2023-03-25;SAN ANTONIO, TEXAS, USA;http://ufcstats.com/event-details/aec273fcb765330d;True;False
e4bb7e483c4ad318;UFC 286: EDWARDS VS. USMAN 3;2023-03-18;LONDON, ENGLAND, UNITED KINGDOM;http://ufcstats.com/event-details/e4bb7e483c4ad318;True;False
35080a7f406f9ab3;UFC FIGHT NIGHT: YAN VS. DVALISHVILI;2023-03-11;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/35080a7f406f9ab3;True;False
1ccff7f0cfdf85eb;UFC 285: JONES VS. GANE;2023-03-04;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/1ccff7f0cfdf85eb;True;False
806975e1b4f47b27;UFC FIGHT NIGHT: MUNIZ VS. ALLEN;2023-02-25;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/806975e1b4f47b27;True;False
f21a3d68fb9df387;UFC FIGHT NIGHT: ANDRADE VS. BLANCHFIELD;2023-02-18;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/f21a3d68fb9df387;True;False
01dd4cdc2446f665;UFC 284: MAKHACHEV VS. VOLKANOVSKI;2023-02-11;PERTH, WESTERN AUSTRALIA, AUSTRALIA;http://ufcstats.com/event-details/01dd4cdc2446f665;True;False
d26394fc0e8e880a;UFC FIGHT NIGHT: LEWIS VS. SPIVAC;2023-02-04;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/d26394fc0e8e880a;True;False
5717efc6f271cd52;UFC 283: TEIXEIRA VS. HILL;2023-01-21;RIO DE JANEIRO, RIO DE JANEIRO, BRAZIL;http://ufcstats.com/event-details/5717efc6f271cd52;True;False
2e2cdb6e9eb84bb9;UFC FIGHT NIGHT: STRICKLAND VS. IMAVOV;2023-01-14;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/2e2cdb6e9eb84bb9;True;False
56ec58954158966a;UFC FIGHT NIGHT: CANNONIER VS. STRICKLAND;2022-12-17;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/56ec58954158966a;True;False
f65a0eb902f9476b;UFC 282: BLACHOWICZ VS. ANKALAEV;2022-12-10;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/f65a0eb902f9476b;True;False
b23388ff8ac6637b;UFC FIGHT NIGHT: THOMPSON VS. HOLLAND;2022-12-03;ORLANDO, FLORIDA, USA;http://ufcstats.com/event-details/b23388ff8ac6637b;True;False
012fc7cd0779c09a;UFC FIGHT NIGHT: NZECHUKWU VS. CUTELABA;2022-11-19;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/012fc7cd0779c09a;True;False
b3b6e80b7d5f8f0d;UFC 281: ADESANYA VS. PEREIRA;2022-11-12;NEW YORK CITY, NEW YORK, USA;http://ufcstats.com/event-details/b3b6e80b7d5f8f0d;True;False
756f45905fb20cb5;UFC FIGHT NIGHT: RODRIGUEZ VS. LEMOS;2022-11-05;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/756f45905fb20cb5;True;False
be5aab761c40ef35;UFC FIGHT NIGHT: KATTAR VS. ALLEN;2022-10-29;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/be5aab761c40ef35;True;False
885e7f70dcac0007;UFC 280: OLIVEIRA VS. MAKHACHEV;2022-10-22;ABU DHABI, ABU DHABI, UNITED ARAB EMIRATES;http://ufcstats.com/event-details/885e7f70dcac0007;True;False
49c29e57d4e2be6f;UFC FIGHT NIGHT: GRASSO VS. ARAUJO;2022-10-15;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/49c29e57d4e2be6f;True;False
4f670b7972fa0a2e;UFC FIGHT NIGHT: DERN VS. YAN;2022-10-01;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/4f670b7972fa0a2e;True;False
8d477c3fbe001f9d;UFC FIGHT NIGHT: SANDHAGEN VS. SONG;2022-09-17;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/8d477c3fbe001f9d;True;False
93bf96be327fcd98;UFC 279: DIAZ VS. FERGUSON;2022-09-10;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/93bf96be327fcd98;True;False
00a905a4a4a2b071;UFC FIGHT NIGHT: GANE VS. TUIVASA;2022-09-03;PARIS, ILE-DE-FRANCE, FRANCE;http://ufcstats.com/event-details/00a905a4a4a2b071;True;False
4f853e98886283cf;UFC 278: USMAN VS. EDWARDS;2022-08-20;SALT LAKE CITY, UTAH, USA;http://ufcstats.com/event-details/4f853e98886283cf;True;False
a23e63184c65f5b8;UFC FIGHT NIGHT: VERA VS. CRUZ;2022-08-13;SAN DIEGO, CALIFORNIA, USA;http://ufcstats.com/event-details/a23e63184c65f5b8;True;False
8f6a18831a120817;UFC FIGHT NIGHT: SANTOS VS. HILL;2022-08-06;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/8f6a18831a120817;True;False
b0a6124751a56bc4;UFC 277: PENA VS. NUNES 2;2022-07-30;DALLAS, TEXAS, USA;http://ufcstats.com/event-details/b0a6124751a56bc4;True;False
319c15b8aac5bfde;UFC FIGHT NIGHT: BLAYDES VS. ASPINALL;2022-07-23;LONDON, ENGLAND, UNITED KINGDOM;http://ufcstats.com/event-details/319c15b8aac5bfde;True;False
8fd76e1b49c00ae2;UFC FIGHT NIGHT: ORTEGA VS. RODRIGUEZ;2022-07-16;ELMONT, NEW YORK, USA;http://ufcstats.com/event-details/8fd76e1b49c00ae2;True;False
31da66df48c0c1a0;UFC FIGHT NIGHT: DOS ANJOS VS. FIZIEV;2022-07-09;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/31da66df48c0c1a0;True;False
4a9e305633f3ef47;UFC 276: ADESANYA VS. CANNONIER;2022-07-02;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/4a9e305633f3ef47;True;False
eb42d4febfafefd1;UFC FIGHT NIGHT: TSARUKYAN VS. GAMROT;2022-06-25;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/eb42d4febfafefd1;True;False
a0a680fe2f6cc8e6;UFC FIGHT NIGHT: KATTAR VS. EMMETT;2022-06-18;AUSTIN, TEXAS, USA;http://ufcstats.com/event-details/a0a680fe2f6cc8e6;True;False
3a24769a4855040a;UFC 275: TEIXEIRA VS. PROCHAZKA;2022-06-11;KALLANG, SINGAPORE;http://ufcstats.com/event-details/3a24769a4855040a;True;False
57591bbf1623574e;UFC FIGHT NIGHT: VOLKOV VS. ROZENSTRUIK;2022-06-04;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/57591bbf1623574e;True;False
a6c32678efd4f434;UFC FIGHT NIGHT: HOLM VS. VIEIRA;2022-05-21;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/a6c32678efd4f434;True;False
60ba33c3f555a7a3;UFC FIGHT NIGHT: BLACHOWICZ VS. RAKIC;2022-05-14;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/60ba33c3f555a7a3;True;False
253d3f9e97ca149a;UFC 274: OLIVEIRA VS. GAETHJE;2022-05-07;PHOENIX, ARIZONA, USA;http://ufcstats.com/event-details/253d3f9e97ca149a;True;False
6bf5a7d3e081ade2;UFC FIGHT NIGHT: FONT VS. VERA;2022-04-30;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/6bf5a7d3e081ade2;True;False
236a37d96d476164;UFC FIGHT NIGHT: LEMOS VS. ANDRADE;2022-04-23;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/236a37d96d476164;True;False
8753e125f4499816;UFC FIGHT NIGHT: LUQUE VS. MUHAMMAD;2022-04-16;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/8753e125f4499816;True;False
3a97fda0de6f1fa4;UFC 273: VOLKANOVSKI VS. THE KOREAN ZOMBIE;2022-04-09;JACKSONVILLE, FLORIDA, USA;http://ufcstats.com/event-details/3a97fda0de6f1fa4;True;False
1fac46d466abd5b8;UFC FIGHT NIGHT: BLAYDES VS. DAUKAUS;2022-03-26;COLUMBUS, OHIO, USA;http://ufcstats.com/event-details/1fac46d466abd5b8;True;False
1d00756835ca67c9;UFC FIGHT NIGHT: VOLKOV VS. ASPINALL;2022-03-19;LONDON, ENGLAND, UNITED KINGDOM;http://ufcstats.com/event-details/1d00756835ca67c9;True;False
1f9344211ca7fd60;UFC FIGHT NIGHT: SANTOS VS. ANKALAEV;2022-03-12;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/1f9344211ca7fd60;True;False
75e0d3cc2262b732;UFC 272: COVINGTON VS. MASVIDAL;2022-03-05;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/75e0d3cc2262b732;True;False
f6a7b02c42e9fc5b;UFC FIGHT NIGHT: MAKHACHEV VS. GREEN;2022-02-26;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/f6a7b02c42e9fc5b;True;False
77940e45bc86208e;UFC FIGHT NIGHT: WALKER VS. HILL;2022-02-19;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/77940e45bc86208e;True;False
cbb682f5fcc44bfc;UFC 271: ADESANYA VS. WHITTAKER 2;2022-02-12;HOUSTON, TEXAS, USA;http://ufcstats.com/event-details/cbb682f5fcc44bfc;True;False
883922e5cd6d8473;UFC FIGHT NIGHT: HERMANSSON VS. STRICKLAND;2022-02-05;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/883922e5cd6d8473;True;False
335ad945324c3a2e;UFC 270: NGANNOU VS. GANE;2022-01-22;ANAHEIM, CALIFORNIA, USA;http://ufcstats.com/event-details/335ad945324c3a2e;True;False
f5585e675af7afd4;UFC FIGHT NIGHT: KATTAR VS. CHIKADZE;2022-01-15;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/f5585e675af7afd4;True;False
2a470ad41c22c25a;UFC FIGHT NIGHT: LEWIS VS. DAUKAUS;2021-12-18;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/2a470ad41c22c25a;True;False
ef927e4fe2117ab8;UFC 269: OLIVEIRA VS. POIRIER;2021-12-11;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/ef927e4fe2117ab8;True;False
509697e08673d2e5;UFC FIGHT NIGHT: FONT VS. ALDO;2021-12-04;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/509697e08673d2e5;True;False
c95fbc085e17a532;UFC FIGHT NIGHT: VIEIRA VS. TATE;2021-11-20;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/c95fbc085e17a532;True;False
b5abaa65f87938eb;UFC FIGHT NIGHT: HOLLOWAY VS. RODRIGUEZ;2021-11-13;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/b5abaa65f87938eb;True;False
48e093ea1f43a053;UFC 268: USMAN VS. COVINGTON 2;2021-11-06;NEW YORK CITY, NEW YORK, USA;http://ufcstats.com/event-details/48e093ea1f43a053;True;False
3974fa35c917af1d;UFC 267: BLACHOWICZ VS. TEIXEIRA;2021-10-30;ABU DHABI, ABU DHABI, UNITED ARAB EMIRATES;http://ufcstats.com/event-details/3974fa35c917af1d;True;False
8a9c6c4301f6d088;UFC FIGHT NIGHT: COSTA VS. VETTORI;2021-10-23;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/8a9c6c4301f6d088;True;False
8f4616698508f24d;UFC FIGHT NIGHT: LADD VS. DUMONT;2021-10-16;LAS VEGAS, NEVADA, USA;http://ufcstats.com/event-details/8f4616698508f24d;True;False
